,source,bloodmnist,breastmnist,chestmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,imagenet,0.9984533762023934,0.8851294903926483,0.6858346232118053,0.8946454007292657,0.9258393333333332,0.9904092401281136,0.9808796536724718,0.9558214521841136,0.9896552816370277,0.9834538680692526,0.8640816277234675,0.8448806030585987
1,radimagenet,0.9955918767642886,0.8350041771094403,0.6821414998419685,0.8735214269805311,0.9692826666666668,0.9884001036002424,0.9812314948767392,0.9537652340107856,0.9855048459591752,0.9824074074074074,0.7838821134510443,0.8294148373138508
2,medmnist,0.997204678743132,0.8527568922305765,0.6921869249292862,0.883395136786724,0.951932,0.9845345681646328,0.983438168677407,0.9505096349249256,0.98276799534939,0.9845277229892614,0.800438754655668,0.8406273944531447
3,bloodmnist,,0.764202172096909,0.5912661038766036,0.8514147949179114,0.8962786666666667,0.9859443368844936,0.980627026741334,0.9509637946473048,0.9666493353325436,0.8747534516765286,0.6914994001297213,0.7953062661870025
4,breastmnist,0.9928759466488912,,0.643336792860965,0.8624678368312476,0.8838493333333333,0.9862102897070378,0.9834512754095124,0.95458872467441,0.9649791173780432,0.9322813938198554,0.704433255619238,0.8009893311922389
5,chestmnist,0.993760258140902,0.8648705096073517,,0.8756503923050453,0.9422333333333331,0.9835442015233627,0.9823261600971278,0.9564915293221724,0.969794778510332,0.9324567170721018,0.7861349481105615,0.8092532756151557
6,dermamnist,0.9918192798116312,0.8554720133667502,0.6535708288678631,,0.87254,0.9857723843608578,0.9820096010355946,0.952709928108916,0.9766385722555172,0.8541584483892176,0.7111629494748887,0.8095742740685864
7,octmnist,0.9889551709064862,0.8320802005012532,0.6711713333032685,0.8791762490335129,,0.9831954450221811,0.9799547132308728,0.9440361385804428,0.9797100912343654,0.938943677405216,0.6993401204611309,0.8042377669934606
8,organamnist,0.9946626449026827,0.7988721804511278,0.6404202722089771,0.857133464486506,0.9590533333333334,,0.9875620749248636,0.9571697664803248,0.9747723113966468,0.9324512382204688,0.6620510703989675,0.8056874809403373
9,organcmnist,0.9937441954580752,0.8454469507101086,0.6281888744947105,0.8496433555040727,0.932792,0.9817811360114586,,0.961755696136882,0.9564163534301436,0.8848564540872234,0.7035354138099187,0.7999097245752921
10,organsmnist,0.9894860189368204,0.8047201336675022,0.6393265440138272,0.8439793998929156,0.8691306666666667,0.986675979091904,0.9809265215394876,,0.9432277285150652,0.8872561911023449,0.7144673772990034,0.7652291902488557
11,pathmnist,0.9956602685930588,0.8669590643274854,0.6476896524884609,0.8678495753105554,0.9179233333333332,0.9810651361260556,0.9731958527520188,0.9510834716287232,,0.9306815691431076,0.7285096231539019,0.7997594117158275
12,pneumoniamnist,0.9923009733415388,0.7980367585630744,0.6441508391626292,0.8522228045939755,0.8941786666666667,0.982767303398393,0.9780047545807784,0.951181316181873,0.9497696108551978,,0.6926543820205715,0.7776169024600649
13,retinamnist,0.991855034934622,0.8057644110275689,0.6492080628571248,0.8603273714450775,0.8760386666666667,0.9850753513099754,0.9805926154086604,0.9571122284879672,0.970616039295041,0.8990466798159106,,0.7902419227890737
14,tissuemnist,0.9943922957532724,0.8345864661654135,0.6692462250785304,0.8807339878104165,0.9319733333333334,0.9879851222992688,0.982784698981894,0.9621438545407192,0.9875044658615836,0.9293995178610563,0.7805025656191484,
