,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,imagenet,21.16186377408257,4.419073289645774,4.581259159518285,13.385753282918444,24.85908282928643,19.34694935565633,16.45423997851918,24.17663369200988,9.076188784707886,6.851706762626825,6.57954404465458
1,radimagenet,17.365212733252367,4.095814469322262,4.036536080516222,10.649191753449669,22.74800257554017,18.561445136869573,13.795798488514022,20.261684968710625,9.174500575481122,4.407555979964764,6.513722168463406
2,medmnist,15.90031318472073,3.0102993467536687,3.7788747594050847,9.089721425246305,34.309299809459645,33.671223471940394,23.45413866854652,19.218434288234484,7.077878530893986,3.6036664826463145,6.2302231662243
3,bloodmnist,31.802023932025282,2.648244979190498,5.176366903765495,5.619476867038401,18.44830032180511,19.598465292827807,14.570735401614066,18.12850852903117,6.929719499701335,3.763533783474229,6.855322583567001
4,breastmnist,17.234891162181494,9.094566612142236,3.463787985573664,7.057118683861005,19.61233013936237,19.041069836211964,14.282286331030686,13.095358787102498,7.2816556381975515,4.132726691691616,6.28334997036403
5,chestmnist,10.378496860031952,2.802006317883989,2.24671260461516,7.538667750567821,18.498148740730727,17.09876144257142,12.875825721052989,11.459614502234206,7.00441183941942,2.1238782019746085,5.552650427165355
6,dermamnist,18.29666074728759,3.1851236593777332,6.638399919618775,5.6093289910036885,21.083781500327966,20.31800224872812,14.972104657931473,16.148454878591686,7.847533280549992,3.525749821183792,6.330283018872741
7,octmnist,9.948060853539925,0.9015530232393212,2.4341501239722727,15.729286438574213,15.913955861972498,15.594586562447036,10.818082186208068,11.638568993042842,6.1958305737523816,3.4366451934160076,4.922531990816256
8,organamnist,18.5257123867066,4.2706424019470015,2.12331005820862,5.5491668477058,32.252826368711546,25.160834560737534,15.032427999128123,12.642898785758296,7.533381043428363,1.9385517237898071,7.945582637746558
9,organcmnist,18.382533529699757,3.5492251373229164,2.762738912067233,6.742159340634379,24.704719526482457,29.19413425166446,18.538424556091744,14.511511375443584,7.448564018882739,2.241680595287433,6.4352557220663895
10,organsmnist,15.416953145443305,3.510588870112981,2.309288172775476,6.971192747848703,20.728960674456435,24.530678726347606,26.036000083200616,14.542404310949895,5.986862060928402,1.9305897757161774,7.1572153622804
11,pathmnist,20.645673472561995,2.3548384944377476,3.5389190998832163,6.398875351527413,22.09663593307977,19.39846758863868,14.642898741238488,24.73883322570554,7.402857628346436,4.317840473259469,5.536333292648328
12,pneumoniamnist,14.162636287745812,2.5151321243502323,2.9932269736826767,7.128688417076155,18.755253836387055,18.27092046097048,12.81843417933567,12.417953856652973,11.846458873313248,2.5309110943444404,7.174749537353772
13,retinamnist,22.658129020068454,3.2575815928991494,3.1737848839614466,5.445180784101141,19.387253650572745,18.325912285696038,12.316772509931194,18.396843932066986,8.287817176970803,6.069039166898863,5.40012210583088
14,tissuemnist,19.56739329803201,2.9942555037597183,3.674042363325773,9.575845360541294,19.656869076725947,20.825709717511632,15.329892939738293,13.066440773272635,7.599764607204003,2.7171981556282434,13.595127212654972
